token,similarity
Looking,0.5689644183316395
encounter,0.4738390997807482
Training,0.3460955456440559
meditating,0.4234336959087346
intertwined,0.4283937206805625
comfort,0.35014782146339646
excellent,0.6116894839711995
suppose,0.34646512240735944
Ascend,0.36136394957936524
Elevate,0.37348207946835393
underestimated,0.5281368843448517
underestimate,0.5281368843448517
sort,0.34540881742406154
hopping,0.4197761786093588
riding,0.421481453264887
watching,0.5325693772229414
scary,0.3300341341971964
Oasis,0.31688733365988575
unique,0.6320033255419772
properties,0.3388881649155036
floating,0.46574551668208813
vultures,0.4582122749237716
tense,0.3651063247486722
worthless,0.30004603697022614
mulling,0.45536667884369525
imagine,0.3783248038105574
devastating,0.48865530059201
possesses,0.3773435844853563
